phrase,category,doc_count,occurrence_count,mean_score,total_score
patriot act 2001,Emerging/Unmapped,1,1,0.2624,0.2624
urban,Emerging/Unmapped,1,1,0.26185,0.5237
asset management,Emerging/Unmapped,1,1,0.2598,0.2598
disproportionately impacted result,Emerging/Unmapped,1,1,0.2587,0.2587
performance indicators carried,Emerging/Unmapped,1,1,0.2583,0.2583
integrity residual,Emerging/Unmapped,1,1,0.255,0.255
place prevent traffic,Emerging/Unmapped,1,1,0.2544,0.2544
extreme,Emerging/Unmapped,1,1,0.2515,0.2515
priority,Emerging/Unmapped,1,1,0.2509,0.2509
metrics 8r,Emerging/Unmapped,1,1,0.2507,0.2507
transport element transport,Emerging/Unmapped,1,1,0.2496,0.2496
term performance,Emerging/Unmapped,1,1,0.2489,0.2489
transformation value,Emerging/Unmapped,1,1,0.2488,0.2488
sector,Emerging/Unmapped,1,1,0.2487,0.2487
government units connect,Emerging/Unmapped,1,1,0.2485,0.2485
loss list,Emerging/Unmapped,1,1,0.2473,0.2473
event thresholds defined,Emerging/Unmapped,1,1,0.2469,0.2469
tarmacs reduced life,Emerging/Unmapped,1,1,0.2453,0.2453
industrial case study,Emerging/Unmapped,1,1,0.2452,0.2452
recovery paths specified,Recoverability,1,1,0.2444,0.2444
main european regulations,Emerging/Unmapped,1,1,0.2429,0.2429
methods assessment metrics,Emerging/Unmapped,1,1,0.2417,0.2417
responsible,Emerging/Unmapped,1,1,0.24,0.24
oversight activities modes,Emerging/Unmapped,1,1,0.2395,0.2395
goal analysis criteria,Emerging/Unmapped,1,1,0.2365,0.2365
transportlinks opened based,Emerging/Unmapped,1,1,0.2356,0.2356
metrics,Emerging/Unmapped,1,1,0.2318,0.2318
airport closures,Emerging/Unmapped,1,1,0.2288,0.2288
society kobe,Emerging/Unmapped,1,1,0.2284,0.2284
information,Emerging/Unmapped,1,1,0.2271,0.2271
justice,Equity,1,1,0.2271,0.2271
influence,Emerging/Unmapped,1,1,0.2261,0.2261
critical,Emerging/Unmapped,1,1,0.2249,0.2249
iso 55002,Emerging/Unmapped,1,1,0.2249,0.2249
values contractual,Emerging/Unmapped,1,1,0.224,0.224
communities results analysis,Emerging/Unmapped,1,1,0.2227,0.2227
crashes ability,Emerging/Unmapped,1,1,0.2227,0.2227
assessment,Emerging/Unmapped,1,1,0.221,0.221
growth human welfare,Emerging/Unmapped,1,1,0.2197,0.2197
dros systematic,Emerging/Unmapped,1,1,0.2195,0.2195
states lacks standardized,Emerging/Unmapped,1,1,0.2182,0.2182
participation plans accessible,Accessibility,1,1,0.2172,0.2172
capacity response resource,Capacity,1,1,0.2164,0.2164
capacity response resource,Responsiveness,1,1,0.2164,0.2164
